user_id,cat_id,created_at,last_updated_at
SID-00-000-549-127,0.0.0.0.0,2026-01-15 00:38:04,2026-01-15 00:38:04
SID-00-000-549-127,5.1.11,2026-01-15 00:38:04,2026-01-15 00:38:04
SID-00-000-141-521,1.2,2026-01-17 04:21:54,2026-01-17 04:21:54
SID-00-000-220-980,1.1,2026-01-19 04:38:32,2026-01-19 04:38:32
SID-00-000-220-980,4.8,2026-01-19 04:38:32,2026-01-19 04:38:32
SID-00-000-934-108,2.1.2,2026-01-28 04:55:46,2026-01-28 04:55:46
SID-00-000-141-521,6.2,2026-01-28 04:56:17,2026-01-28 04:56:17
SID-00-000-246-899,5.1.2,2026-01-30 09:25:21,2026-01-30 09:25:21
SID-00-000-246-899,6.2,2026-01-30 09:25:21,2026-01-30 09:25:21
SID-00-000-246-899,3.1,2026-01-30 09:25:21,2026-01-30 09:25:21
SID-00-000-887-103,5,2026-02-07 07:00:51,2026-02-07 07:00:51
SID-00-000-887-103,5.1.2,2026-02-07 07:00:51,2026-02-07 07:00:51
SID-00-000-032-030,5.1.2,2026-02-08 22:01:17,2026-02-08 22:01:17
SID-00-000-032-030,2,2026-02-08 22:01:17,2026-02-08 22:01:17
SID-00-000-032-030,4.3.1,2026-02-08 22:01:17,2026-02-08 22:01:17
SID-00-000-951-552,2,2026-02-09 23:54:25,2026-02-09 23:54:25
SID-00-000-951-552,5.1.1,2026-02-09 23:54:25,2026-02-09 23:54:25
SID-00-000-887-103,5.1,2026-02-19 11:30:12,2026-02-19 11:30:12
SID-00-000-887-103,2.1,2026-02-19 11:30:12,2026-02-19 11:30:12
SID-00-000-887-103,4.8,2026-02-19 11:30:12,2026-02-19 11:30:12
SID-00-000-934-108,1.3.3,2026-02-23 02:57:22,2026-02-23 02:57:22
SID-00-000-934-108,5.1.2,2026-02-23 02:57:22,2026-02-23 02:57:22
SID-00-000-934-108,2.3,2026-02-23 02:57:22,2026-02-23 02:57:22
SID-00-000-650-175,4.3.1,2026-03-09 13:02:01,2026-03-09 13:02:01
SID-00-000-650-175,3.2,2026-03-09 13:02:01,2026-03-09 13:02:01
SID-00-000-650-175,4.6,2026-03-09 13:02:01,2026-03-09 13:02:01
SID-00-000-610-065,2.1.1,2026-03-09 22:16:39,2026-03-09 22:16:39
SID-00-000-610-065,4.2,2026-03-09 22:16:39,2026-03-09 22:16:39
SID-00-000-841-032,3.1,2026-03-13 09:46:33,2026-03-13 09:46:33
SID-00-000-698-906,1,2026-03-19 09:19:02,2026-03-19 09:19:02
SID-00-000-698-906,4.2,2026-03-19 09:19:02,2026-03-19 09:19:02
SID-00-000-951-552,6.3,2026-03-19 23:33:49,2026-03-19 23:33:49
SID-00-000-951-552,1.2,2026-03-19 23:33:49,2026-03-19 23:33:49
SID-00-000-951-552,4.1,2026-03-19 23:33:49,2026-03-19 23:33:49
SID-00-000-405-905,1.3,2026-03-23 16:12:54,2026-03-23 16:12:54
SID-00-000-405-905,4.1,2026-03-23 16:12:54,2026-03-23 16:12:54
SID-00-000-203-733,2.1,2026-04-15 21:20:35,2026-04-15 21:20:35
SID-00-000-721-071,6,2026-04-28 16:55:01,2026-04-28 16:55:01
SID-00-000-721-071,3.2,2026-04-28 16:55:01,2026-04-28 16:55:01
SID-00-000-142-754,6,2026-05-01 10:51:37,2026-05-01 10:51:37
SID-00-000-142-754,5.1.1,2026-05-01 10:51:37,2026-05-01 10:51:37
SID-00-000-142-754,6.2,2026-05-01 10:51:37,2026-05-01 10:51:37
SID-00-000-951-552,4.5,2026-05-03 19:06:52,2026-05-03 19:06:52
SID-00-000-951-552,5.3,2026-05-03 19:06:52,2026-05-03 19:06:52
SID-00-000-951-552,5.1,2026-05-03 19:06:52,2026-05-03 19:06:52
SID-00-000-203-733,4.3,2026-05-05 06:27:05,2026-05-05 06:27:05
SID-00-000-203-733,1.4,2026-05-05 06:27:05,2026-05-05 06:27:05
SID-00-000-203-733,3.2,2026-05-05 20:03:37,2026-05-05 20:03:37
SID-00-000-203-733,6.3,2026-05-05 20:03:37,2026-05-05 20:03:37
SID-00-000-650-175,6.4,2026-05-10 18:49:47,2026-05-10 18:49:47
SID-00-000-654-114,3.2,2026-05-12 23:54:13,2026-05-12 23:54:13
SID-00-000-405-905,4.2,2026-05-13 14:35:35,2026-05-13 14:35:35
SID-00-000-405-905,5.1.1,2026-05-13 14:35:35,2026-05-13 14:35:35
SID-00-000-405-905,6.2,2026-05-13 14:35:35,2026-05-13 14:35:35
SID-00-000-698-906,4.7,2026-05-14 15:45:00,2026-05-14 15:45:00
SID-00-000-698-906,1.2,2026-05-14 15:45:00,2026-05-14 15:45:00
SID-00-000-698-906,4.4,2026-05-14 15:45:00,2026-05-14 15:45:00
SID-00-000-246-899,1.3,2026-05-26 06:03:05,2026-05-26 06:03:05
SID-00-000-246-899,1.3.1,2026-05-26 06:03:05,2026-05-26 06:03:05
SID-00-000-246-899,4.3.1,2026-05-26 06:03:05,2026-05-26 06:03:05
SID-00-000-650-175,3.2,2026-05-31 00:39:48,2026-05-31 00:39:48
SID-00-000-220-980,4.2,2026-05-31 20:29:45,2026-05-31 20:29:45
SID-00-000-220-980,3,2026-05-31 20:29:45,2026-05-31 20:29:45
SID-00-000-220-980,6.4,2026-05-31 20:29:45,2026-05-31 20:29:45
SID-00-000-549-127,4.3.2,2026-06-07 14:39:00,2026-06-07 14:39:00
SID-00-000-549-127,2.3,2026-06-07 14:39:00,2026-06-07 14:39:00
SID-00-000-405-905,5.1,2026-06-09 19:29:58,2026-06-09 19:29:58
SID-00-000-405-905,3.2,2026-06-09 19:29:58,2026-06-09 19:29:58
SID-00-000-841-032,4.6,2026-06-12 12:55:03,2026-06-12 12:55:03
SID-00-000-841-032,3.1,2026-06-12 12:55:03,2026-06-12 12:55:03
SID-00-000-841-032,1.3.2,2026-06-12 12:55:03,2026-06-12 12:55:03
SID-00-000-500-019,4.1,2026-06-15 09:06:33,2026-06-15 09:06:33
SID-00-000-500-019,4,2026-06-15 09:06:33,2026-06-15 09:06:33
SID-00-000-246-899,1.3.2,2026-06-18 13:22:05,2026-06-18 13:22:05
SID-00-000-934-108,1,2026-06-19 17:21:03,2026-06-19 17:21:03
SID-00-000-934-108,5.1.2,2026-06-19 17:21:03,2026-06-19 17:21:03
SID-00-000-934-108,4.6,2026-06-19 17:21:03,2026-06-19 17:21:03
SID-00-000-610-065,1.2,2026-06-22 20:26:49,2026-06-22 20:26:49
SID-00-000-698-906,1.3.3,2026-06-22 23:54:21,2026-06-22 23:54:21
