city_id,state_id,city_name,lattitude,longitude,last_update_date
1,ST-000001,San Jose,37.3382,-121.8863,2026-08-31 14:30:00
2,ST-000002,Ashburn,39.0438,-77.4874,2026-08-31 14:30:00
3,ST-000003,Austin,30.2672,-97.7431,2026-08-31 14:30:00
4,ST-000004,Bengaluru,12.9716,77.5946,2026-08-31 14:30:00
5,ST-000005,Dublin,53.3498,-6.2603,2026-08-31 14:30:00
6,ST-000006,Toronto,43.6532,-79.3832,2026-08-31 14:30:00
7,ST-000007,Mock City 007,37.75648,-123.311268,2026-08-31 14:30:00
8,ST-000008,Mock City 008,38.368888,-78.317768,2026-08-31 14:30:00
9,ST-000009,Mock City 009,30.976614,-97.213002,2026-08-31 14:30:00
10,ST-000010,Mock City 010,14.148139,76.355416,2026-08-31 14:30:00
11,ST-000011,Mock City 011,53.115565,-7.670908,2026-08-31 14:30:00
12,ST-000012,Mock City 012,42.809114,-79.367134,2026-08-31 14:30:00
13,ST-000013,Mock City 013,35.917808,-122.789787,2026-08-31 14:30:00
14,ST-000014,Mock City 014,39.493453,-77.352576,2026-08-31 14:30:00
15,ST-000015,Mock City 015,29.428522,-97.475303,2026-08-31 14:30:00
16,ST-000016,Mock City 016,13.899891,76.114096,2026-08-31 14:30:00
17,ST-000017,Mock City 017,54.267258,-5.665882,2026-08-31 14:30:00
18,ST-000018,Mock City 018,43.173952,-80.416762,2026-08-31 14:30:00
19,ST-000019,Mock City 019,38.709839,-122.376516,2026-08-31 14:30:00
20,ST-000020,Mock City 020,37.822038,-78.697251,2026-08-31 14:30:00
21,ST-000021,Mock City 021,31.309683,-97.431922,2026-08-31 14:30:00
22,ST-000022,Mock City 022,13.892985,78.283795,2026-08-31 14:30:00
23,ST-000023,Mock City 023,53.458484,-4.840953,2026-08-31 14:30:00
24,ST-000024,Mock City 024,43.288803,-79.227078,2026-08-31 14:30:00
25,ST-000025,Mock City 025,38.326414,-121.530741,2026-08-31 14:30:00
26,ST-000026,Mock City 026,40.128921,-77.255344,2026-08-31 14:30:00
27,ST-000027,Mock City 027,30.880916,-99.105627,2026-08-31 14:30:00
28,ST-000028,Mock City 028,12.155295,76.962764,2026-08-31 14:30:00
29,ST-000029,Mock City 029,52.089176,-7.061927,2026-08-31 14:30:00
30,ST-000030,Mock City 030,42.456204,-80.049279,2026-08-31 14:30:00
31,ST-000031,Mock City 031,37.745253,-122.291803,2026-08-31 14:30:00
32,ST-000032,Mock City 032,38.654343,-78.358879,2026-08-31 14:30:00
33,ST-000033,Mock City 033,29.568133,-96.433136,2026-08-31 14:30:00
34,ST-000034,Mock City 034,13.415706,77.921993,2026-08-31 14:30:00
