city_id,state_id,city_name,lattitude,longitude,last_updated_at
1,1,Richmond,37.5407,-77.436,2024-03-22 02:18:53
2,1,Norfolk,36.8508,-76.2859,2025-01-06 03:12:45
3,1,Arlington,38.8799,-77.1068,2024-03-12 10:42:14
4,1,Alexandria,38.8048,-77.0469,2024-10-23 11:54:14
5,1,West Alexandriaford,38.805693,-77.043806,2024-04-13 21:17:29
6,1,Lake Norfolkdale,36.848579,-76.288747,2025-01-08 14:23:22
7,1,South Arlingtonton,38.878699,-77.10821,2024-08-03 06:17:44
8,1,North Arlingtonford,38.880262,-77.102069,2024-03-15 04:40:10
9,2,Los Angeles,34.0522,-118.2437,2024-05-26 17:08:15
10,2,San Francisco,37.7749,-122.4194,2025-07-29 02:16:47
11,2,San Diego,32.7157,-117.1611,2025-08-21 22:57:37
12,2,Lake Sanhaven,37.779795,-122.418,2025-02-12 20:14:08
13,2,Port Losfield,34.04949,-118.248379,2025-06-06 00:05:48
14,2,New Santon,37.77201,-122.414971,2024-02-18 12:09:40
15,2,West Sanford,37.773856,-122.415255,2024-06-13 06:27:38
16,3,New York,40.7128,-74.006,2024-11-02 05:32:38
17,3,Buffalo,42.8864,-78.8784,2024-07-22 13:23:48
18,3,Albany,42.6526,-73.7562,2024-06-15 02:49:59
19,3,Fort Buffalohaven,42.891111,-78.874792,2025-06-27 09:38:20
20,3,South Albanybridge,42.655109,-73.753514,2025-05-15 09:07:59
21,3,New Newwood,40.709382,-74.010968,2025-01-06 18:15:03
22,3,New Albanybridge,42.65522,-73.756123,2024-09-04 03:05:05
23,4,Houston,29.7604,-95.3698,2025-07-21 16:37:14
24,4,Austin,30.2672,-97.7431,2024-01-08 11:45:40
25,4,Dallas,32.7767,-96.797,2024-03-01 16:04:57
26,4,East Houstonford,29.764868,-95.373149,2024-02-02 19:04:32
27,4,Lake Dallasburg,32.780989,-96.794447,2024-08-31 17:42:31
28,4,New Houstonwood,29.765351,-95.368301,2024-08-08 02:08:46
29,4,Mount Dallaston,32.774179,-96.80136,2025-08-08 03:30:15
30,5,Seattle,47.6062,-122.3321,2024-04-10 10:41:34
31,5,Spokane,47.6588,-117.426,2024-01-16 11:59:48
32,5,Lake Seattledale,47.605436,-122.33243,2024-08-30 14:26:31
33,5,South Seattlefield,47.605226,-122.333707,2025-05-07 15:55:25
34,5,West Seattleburg,47.606563,-122.335698,2024-03-01 14:24:00
35,5,Mount Spokaneburg,47.662545,-117.430246,2025-02-03 17:59:50
36,6,Toronto,43.6532,-79.3832,2024-11-19 17:13:42
37,6,Ottawa,45.4215,-75.6972,2024-11-17 16:16:25
38,6,East Ottawaburg,45.419467,-75.692513,2024-05-15 06:41:19
39,6,North Ottawafield,45.422342,-75.697171,2025-04-13 19:59:48
40,6,East Torontoton,43.65415,-79.381448,2024-03-15 09:29:39
41,6,Green Torontocrest,43.648597,-79.38738,2025-07-30 12:04:34
42,7,Vancouver,49.2827,-123.1207,2024-12-07 13:40:16
43,7,Victoria,48.4284,-123.3656,2024-06-15 08:28:35
44,7,South Victoriaburg,48.427095,-123.369023,2025-03-14 02:00:07
45,7,Fort Vancouverhaven,49.287018,-123.124664,2024-03-19 07:57:09
46,7,Fort Vancouverville,49.280423,-123.119652,2025-07-12 10:53:23
47,7,New Victoriafield,48.424323,-123.366364,2025-08-20 02:09:27
48,8,Montreal,45.5019,-73.5674,2024-01-26 06:12:25
49,8,Quebec City,46.8139,-71.208,2024-12-02 17:55:04
50,8,Port Montrealburg,45.503721,-73.565731,2024-10-12 20:41:32
51,8,West Montrealville,45.506662,-73.564292,2025-02-14 06:53:34
52,8,Lake Quebecburg,46.811568,-71.205126,2024-12-05 09:07:56
53,8,West Quebecburg,46.817066,-71.208397,2024-09-24 14:37:16
54,9,London,51.5074,-0.1278,2025-01-24 06:47:57
55,9,Manchester,53.4808,-2.2426,2024-06-28 04:36:19
56,9,Birmingham,52.4862,-1.8904,2025-02-20 02:53:00
