user_id,cat_id,skill_level,created_at,last_updated_at
a075e927-5110-b492-f442-7e0b61484bb3,6.3,ADVANCED,2024-09-01 10:44:31,2024-09-01 11:04:55
9ea556aa-61ee-6c5b-deef-580f9c07a751,6.3,INTERMEDIATE,2025-05-15 07:27:41,2025-06-25 02:58:52
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,2.2,EXPERT,2024-01-28 09:53:11,2024-03-13 15:25:20
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,3,ADVANCED,2024-01-10 22:58:42,2024-02-14 02:50:41
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,6.3,INTERMEDIATE,2024-02-08 13:02:05,2024-03-22 18:39:38
21a4344f-bb7b-ee03-5d67-8bb1945ef2e4,9.1,EXPERT,2024-07-31 09:00:13,2024-09-27 19:30:12
bfbf397b-ac3e-7b0d-5e5b-a13d746cdb77,2.3,EXPERT,2024-04-28 17:23:45,2024-06-20 08:36:35
bfbf397b-ac3e-7b0d-5e5b-a13d746cdb77,10.2,BEGINNER,2024-04-22 17:18:28,2024-06-20 09:10:21
bfbf397b-ac3e-7b0d-5e5b-a13d746cdb77,2,EXPERT,2024-05-18 22:20:12,2024-06-29 09:18:45
bfbf397b-ac3e-7b0d-5e5b-a13d746cdb77,6.1,INTERMEDIATE,2024-05-15 23:55:42,2024-06-03 10:04:10
b24cc64f-be3e-6e57-f30a-9e32aba4fc03,8,EXPERT,2024-04-14 15:40:57,2024-04-21 02:16:27
b24cc64f-be3e-6e57-f30a-9e32aba4fc03,7.1,BEGINNER,2024-04-21 16:30:15,2024-05-10 14:14:18
b24cc64f-be3e-6e57-f30a-9e32aba4fc03,7,INTERMEDIATE,2024-04-18 02:59:23,2024-05-26 02:56:59
90882eaf-c977-6598-203c-8c25fd235def,1.3,EXPERT,2024-08-11 01:46:01,2024-09-02 18:49:53
90882eaf-c977-6598-203c-8c25fd235def,10.1,BEGINNER,2024-09-02 08:55:43,2024-09-14 01:19:26
90882eaf-c977-6598-203c-8c25fd235def,1.1,ADVANCED,2024-09-07 22:28:18,2024-11-07 04:25:32
104556e5-bee3-eb79-1d18-1ee986ad8a8c,4,EXPERT,2025-06-14 23:15:42,2025-07-23 23:18:41
9afd4015-816b-cb9f-7426-b1934b7e6b3c,2.3,INTERMEDIATE,2025-04-08 00:09:13,2025-06-05 10:20:37
9afd4015-816b-cb9f-7426-b1934b7e6b3c,5.1,ADVANCED,2025-04-19 04:28:30,2025-04-28 23:44:09
692ac139-1f4a-8ca1-ab85-fd595463adc7,5.2,INTERMEDIATE,2024-12-07 20:33:28,2025-01-03 08:51:21
692ac139-1f4a-8ca1-ab85-fd595463adc7,4,BEGINNER,2024-12-12 11:23:14,2024-12-13 08:07:39
692ac139-1f4a-8ca1-ab85-fd595463adc7,5,BEGINNER,2024-12-08 10:15:18,2025-01-21 17:19:58
692ac139-1f4a-8ca1-ab85-fd595463adc7,7.2,ADVANCED,2024-11-19 02:04:26,2024-12-20 04:16:00
ebe9e207-4f19-9ec0-c32d-4526b3e4110a,4.3,BEGINNER,2025-08-12 23:43:22,2025-10-06 17:59:28
ebe9e207-4f19-9ec0-c32d-4526b3e4110a,7.1,BEGINNER,2025-08-15 12:30:39,2025-10-09 03:42:47
7129cec7-9b69-554d-7c54-535f6c8c3b6a,9,INTERMEDIATE,2025-03-18 00:29:48,2025-05-05 23:20:52
7129cec7-9b69-554d-7c54-535f6c8c3b6a,2.2,BEGINNER,2025-03-30 07:42:11,2025-05-16 12:10:49
7129cec7-9b69-554d-7c54-535f6c8c3b6a,2.3,BEGINNER,2025-04-07 05:07:55,2025-05-26 11:54:15
7129cec7-9b69-554d-7c54-535f6c8c3b6a,4.1,ADVANCED,2025-04-03 12:28:04,2025-05-28 21:26:15
d556b37d-8f08-81ee-8011-316b3ae88926,3.3,ADVANCED,2025-03-26 19:02:02,2025-04-10 00:42:14
d556b37d-8f08-81ee-8011-316b3ae88926,1.3,INTERMEDIATE,2025-04-13 08:57:59,2025-06-07 23:02:52
d556b37d-8f08-81ee-8011-316b3ae88926,7.1,BEGINNER,2025-04-11 01:48:33,2025-04-21 06:23:53
d556b37d-8f08-81ee-8011-316b3ae88926,7,INTERMEDIATE,2025-03-26 06:34:24,2025-04-28 23:36:03
56ea57b3-beed-10b6-4f6e-274bdedab027,6.3,BEGINNER,2024-05-25 05:15:26,2024-05-25 17:16:02
56ea57b3-beed-10b6-4f6e-274bdedab027,1.2,BEGINNER,2024-05-23 14:21:48,2024-05-30 22:10:28
56ea57b3-beed-10b6-4f6e-274bdedab027,3,EXPERT,2024-05-15 18:36:13,2024-06-26 10:35:49
780b3657-117b-355b-7094-4bdb26a524e3,7,INTERMEDIATE,2025-06-25 02:58:45,2025-07-17 23:28:15
780b3657-117b-355b-7094-4bdb26a524e3,8.1,INTERMEDIATE,2025-06-18 05:15:52,2025-07-02 09:34:32
780b3657-117b-355b-7094-4bdb26a524e3,4.2,EXPERT,2025-07-03 23:36:25,2025-07-14 11:23:26
fb7d9f1c-57eb-89b1-d65e-59dde62d2d06,3,ADVANCED,2024-09-25 06:25:02,2024-11-18 13:50:10
fb7d9f1c-57eb-89b1-d65e-59dde62d2d06,1.2,EXPERT,2024-09-17 19:55:24,2024-10-14 10:41:52
fb7d9f1c-57eb-89b1-d65e-59dde62d2d06,8.2,INTERMEDIATE,2024-10-11 19:57:51,2024-11-02 06:40:16
598ddaec-eaaf-e543-2434-a678a9e27ba9,4,EXPERT,2025-08-13 11:05:31,2025-09-01 17:30:40
598ddaec-eaaf-e543-2434-a678a9e27ba9,4.2,INTERMEDIATE,2025-07-30 15:23:18,2025-08-19 10:49:21
598ddaec-eaaf-e543-2434-a678a9e27ba9,3.3,EXPERT,2025-08-02 08:17:46,2025-08-13 05:42:45
598ddaec-eaaf-e543-2434-a678a9e27ba9,6.3,INTERMEDIATE,2025-08-01 11:43:34,2025-08-15 00:20:16
598ddaec-eaaf-e543-2434-a678a9e27ba9,8.2,INTERMEDIATE,2025-08-04 21:25:26,2025-09-23 02:06:51
09a9d1c1-86ca-c6f4-e238-fe93bd17c5e8,7.2,BEGINNER,2025-02-03 21:05:58,2025-02-12 12:26:37
09a9d1c1-86ca-c6f4-e238-fe93bd17c5e8,6,BEGINNER,2025-02-10 17:00:15,2025-02-15 17:01:13
400035f0-df7d-0dd7-236e-16089acb394a,2.1,ADVANCED,2024-05-14 17:15:01,2024-06-02 19:38:40
400035f0-df7d-0dd7-236e-16089acb394a,6,BEGINNER,2024-05-26 08:36:09,2024-07-10 13:54:28
400035f0-df7d-0dd7-236e-16089acb394a,6.2,BEGINNER,2024-06-02 11:16:45,2024-07-28 15:27:11
2339ba19-2563-7cc3-ca97-ebf555d596af,7.2,BEGINNER,2025-04-27 11:08:39,2025-06-26 16:07:07
2339ba19-2563-7cc3-ca97-ebf555d596af,3.1,INTERMEDIATE,2025-04-29 05:09:53,2025-05-23 20:34:23
2339ba19-2563-7cc3-ca97-ebf555d596af,10.2,INTERMEDIATE,2025-04-29 04:38:41,2025-06-20 16:38:09
2339ba19-2563-7cc3-ca97-ebf555d596af,9,BEGINNER,2025-04-19 04:32:39,2025-05-25 16:29:00
2339ba19-2563-7cc3-ca97-ebf555d596af,5,EXPERT,2025-05-03 15:05:08,2025-05-12 10:24:51
5a5226e6-9d64-2932-0066-853d6de299a1,2.3,EXPERT,2025-02-04 07:53:52,2025-03-21 10:16:30
5a5226e6-9d64-2932-0066-853d6de299a1,3.3,ADVANCED,2025-01-05 07:31:11,2025-01-31 12:55:05
a1b970d0-7a81-04de-b205-07bbfb16f757,9.2,INTERMEDIATE,2024-11-12 15:34:10,2025-01-08 20:37:51
a1b970d0-7a81-04de-b205-07bbfb16f757,5,EXPERT,2024-11-19 00:19:18,2024-12-16 10:21:35
7f072cb9-2fd3-40c0-f945-f2fd56cb1ab0,6.1,BEGINNER,2025-03-27 12:36:33,2025-05-26 07:37:20
cd14a03e-8359-9af6-5d01-f55f67fd64c4,7,ADVANCED,2025-04-05 22:10:48,2025-05-19 06:55:12
cd14a03e-8359-9af6-5d01-f55f67fd64c4,3.3,INTERMEDIATE,2025-04-05 03:02:54,2025-05-02 16:48:15
cd14a03e-8359-9af6-5d01-f55f67fd64c4,9,ADVANCED,2025-04-23 21:54:20,2025-05-29 04:25:38
8fc9c86b-e9dd-ebf5-6311-9aca848af440,8.1,BEGINNER,2024-11-19 05:04:22,2024-12-31 15:59:54
238d6f44-cac4-d0eb-3373-730efc31a597,2.4,INTERMEDIATE,2025-09-03 23:44:55,2025-09-15 10:49:04
0e2f8958-de43-1e06-e924-706980bbae52,2,BEGINNER,2024-06-18 13:21:46,2024-08-09 00:17:44
14cb0564-0743-7c3b-dd20-c3bfd342af08,8.2,INTERMEDIATE,2025-06-20 02:40:57,2025-06-27 04:26:05
14cb0564-0743-7c3b-dd20-c3bfd342af08,6.1,BEGINNER,2025-06-24 05:33:23,2025-07-05 08:18:28
