country_id,state_code,city_name,latitude,longitude
233,AL,Birmingham,33.5186,-86.8104
233,AL,Montgomery,32.3792,-86.3077
233,AL,Mobile,30.6954,-88.0399
233,AL,Huntsville,34.7304,-86.5861
233,AK,Anchorage,61.2181,-149.9003
233,AK,Fairbanks,64.8378,-147.7164
233,AK,Juneau,58.3019,-134.4197
233,AZ,Phoenix,33.4484,-112.0740
233,AZ,Tucson,32.2226,-110.9747
233,AZ,Mesa,33.4152,-111.8315
233,AZ,Scottsdale,33.4942,-111.9261
233,AZ,Flagstaff,35.1983,-111.6513
233,AR,Little Rock,34.7465,-92.2896
233,AR,Fayetteville,36.0626,-94.1574
233,AR,Fort Smith,35.3859,-94.3985
233,CA,Los Angeles,34.0522,-118.2437
233,CA,San Francisco,37.7749,-122.4194
233,CA,San Jose,37.3382,-121.8863
233,CA,San Diego,32.7157,-117.1611
233,CA,Sacramento,38.5816,-121.4944
233,CA,Fresno,36.7378,-119.7871
233,CA,Oakland,37.8044,-122.2712
233,CA,Long Beach,33.7701,-118.1937
233,CO,Denver,39.7392,-104.9903
233,CO,Colorado Springs,38.8339,-104.8214
233,CO,Boulder,40.0150,-105.2705
233,CO,Aurora,39.7294,-104.8319
233,CT,Hartford,41.7658,-72.6734
233,CT,New Haven,41.3083,-72.9279
233,CT,Stamford,41.0534,-73.5387
233,CT,Bridgeport,41.1865,-73.1952
233,DE,Wilmington,39.7391,-75.5398
233,DE,Dover,39.1582,-75.5244
233,DE,Newark,39.6837,-75.7497
233,DC,Washington,38.9072,-77.0369
233,FL,Miami,25.7617,-80.1918
233,FL,Orlando,28.5383,-81.3792
233,FL,Tampa,27.9506,-82.4572
233,FL,Jacksonville,30.3322,-81.6557
233,FL,Tallahassee,30.4383,-84.2807
233,FL,Saint Petersburg,27.7676,-82.6403
233,GA,Atlanta,33.7490,-84.3880
233,GA,Savannah,32.0809,-81.0912
233,GA,Augusta,33.4735,-82.0105
233,GA,Columbus,32.4610,-84.9877
233,HI,Honolulu,21.3069,-157.8583
233,HI,Hilo,19.7297,-155.0900
233,ID,Boise,43.6150,-116.2023
233,ID,Idaho Falls,43.4917,-112.0339
233,ID,Pocatello,42.8713,-112.4455
233,IL,Chicago,41.8781,-87.6298
233,IL,Springfield,39.7817,-89.6501
233,IL,Peoria,40.6936,-89.5890
233,IL,Rockford,42.2711,-89.0940
233,IL,Naperville,41.7508,-88.1535
233,IN,Indianapolis,39.7684,-86.1581
233,IN,Fort Wayne,41.0793,-85.1394
233,IN,Evansville,37.9716,-87.5711
233,IN,Bloomington,39.1653,-86.5264
233,IA,Des Moines,41.5868,-93.6250
233,IA,Cedar Rapids,41.9779,-91.6656
233,IA,Iowa City,41.6611,-91.5302
233,KS,Wichita,37.6872,-97.3301
233,KS,Topeka,39.0473,-95.6752
233,KS,Overland Park,38.9822,-94.6708
233,KY,Louisville,38.2527,-85.7585
233,KY,Lexington,38.0406,-84.5037
